ID: 89 , Time: 10:20PM Sep20 2015 , score: 252 , Depth: 2 , Access: True , Code: 200 , Size 49KB , url: http://en.wikipedia.org/wiki/Outline_of_computers
ID: 90 , Time: 10:20PM Sep20 2015 , score: 252 , Depth: 3 , Access: True , Code: 200 , Size 398KB , url: http://en.wikipedia.org/wiki/Internet
ID: 91 , Time: 10:20PM Sep20 2015 , score: 248 , Depth: 3 , Access: True , Code: 200 , Size 104KB , url: http://en.wikipedia.org/wiki/Scientific_visualization
ID: 92 , Time: 10:20PM Sep20 2015 , score: 248 , Depth: 3 , Access: True , Code: 200 , Size 76KB , url: http://en.wikipedia.org/wiki/Computer-generated_imagery
ID: 93 , Time: 10:20PM Sep20 2015 , score: 244 , Depth: 3 , Access: True , Code: 200 , Size 81KB , url: http://en.wikipedia.org/wiki/3D_computer_graphics
ID: 94 , Time: 10:20PM Sep20 2015 , score: 240 , Depth: 2 , Access: True , Code: 200 , Size 109KB , url: http://en.wikipedia.org/wiki/Planetary_science
ID: 95 , Time: 10:20PM Sep20 2015 , score: 240 , Depth: 1 , Access: True , Code: 200 , Size 99KB , url: http://en.wikipedia.org/wiki/Analytical_Engine
ID: 96 , Time: 10:20PM Sep20 2015 , score: 232 , Depth: 2 , Access: True , Code: 200 , Size 312KB , url: http://en.wikipedia.org/wiki/Physics
ID: 97 , Time: 10:20PM Sep20 2015 , score: 232 , Depth: 4 , Access: True , Code: 200 , Size 115KB , url: http://en.wikipedia.org/wiki/History_of_operating_systems
ID: 98 , Time: 10:20PM Sep20 2015 , score: 228 , Depth: 4 , Access: True , Code: 200 , Size 94KB , url: http://en.wikipedia.org/wiki/Time_sharing
ID: 99 , Time: 10:20PM Sep20 2015 , score: 228 , Depth: 3 , Access: True , Code: 200 , Size 94KB , url: http://en.wikipedia.org/wiki/Time-sharing_system
ID: 100 , Time: 10:20PM Sep20 2015 , score: 228 , Depth: 4 , Access: True , Code: 200 , Size 180KB , url: http://en.wikipedia.org/wiki/History_of_the_graphical_user_interface
